,SiO2_Plag,TiO2_Plag,Al2O3_Plag,FeOt_Plag,MnO_Plag,MgO_Plag,CaO_Plag,Na2O_Plag,K2O_Plag,Cr2O3_Plag,Sample_ID_Plag
0,58.9575,0.04625,25.242,0.6677500000000001,0.013750000000000002,0.0475,6.7989999999999995,6.10525,1.9845,0.0,0
1,58.2825,0.026750000000000003,26.5,0.59025,0.027749999999999997,0.026500000000000003,7.5645,6.001,1.584,0.0,1
2,57.4732,0.0782,26.278399999999998,0.9708,0.0172,0.1028,7.9796,5.5292,1.6103999999999998,0.0,2
3,58.651,0.04900000000000001,26.017333333333337,0.505,0.013,0.015333333333333332,7.070666666666667,6.05,1.76,0.0,3
4,54.291,0.033,29.029833333333332,0.7006666666666668,0.030166666666666665,0.0645,10.912833333333333,4.498666666666667,0.8126666666666668,0.0,4
5,54.23779999999999,0.039400000000000004,28.840999999999998,0.8784000000000001,0.018,0.068,10.863800000000001,4.4026,0.7836000000000001,0.0,5
6,56.372,0.048249999999999994,27.60975,0.5695,0.01575,0.035500000000000004,9.5575,5.16775,1.1312499999999999,0.0,6
7,54.892833333333336,0.04399999999999999,27.938833333333335,0.8140000000000001,0.0035,0.08766666666666667,10.2455,4.6605,0.9804999999999998,0.0,7
8,57.38,0.19,23.75,1.16,0.0,0.43,7.34,5.92,1.6,0.0,8
9,54.08,0.19,27.37,1.21,0.0,0.17,10.56,4.9,0.69,0.0,9
10,54.85,0.14,26.43,1.06,0.0,0.24,10.13,5.11,0.97,0.0,10
11,49.2,0.16,29.53,1.26,0.0,0.23,14.96,2.62,0.62,0.0,11
12,56.64,0.22,24.17,1.18,0.0,0.35,7.89,5.51,1.75,0.0,12
13,56.8,0.34,23.43,1.87,0.0,0.3,7.26,5.6,1.81,0.0,13
14,52.81,0.05,28.6,1.04,0.0,0.13,12.04,4.48,0.49,0.0,14
15,54.7,0.19,26.29,1.13,0.0,0.24,9.75,5.06,1.08,0.0,15
16,51.32,0.15,28.13,1.42,0.0,0.23,12.49,3.24,0.87,0.0,16
17,49.1,0.05,30.86,1.18,0.0,0.13,15.09,2.89,0.2,0.0,17
18,53.79,0.15,26.55,1.1,0.0,0.28,10.07,4.69,1.09,0.0,18
